#CORONAVIRUS
"#Coronavirus #Covid19 
🇺🇸 Trump says he's been taking hydroxychloroquine for a week and a half.
🤔🤦"
Ohio reports 1 new case bringing total confirmed cases there to 28,471 and 1,660 total deaths," with 542 new cases and 32 new deaths reported today.

#CoronaVirus #Covid19 #CoronaVirusOutbreak"
Mass. DPH says numbers will be released shortly. Also says they're changing how they report #coronavirus testing.
WTF businesses is so slow," who's freaking tired of this life situation?

#coronavirus #COVID__19 #lockdownindia"
"@realDonaldTrump is no more taking hydroxychloroquine than I am. The MSM has taken the bait once again forgetting the golden rule ... Trump is a LIAR!
#trump #USA #coronavirus #Hydroxycloroquine #bullshit #lies"
I recall we used landlines for following-up clinical trial subjects during my short time doing that back in the late-1980s. You really don't need 'an app for that', especially one that is having decidedly mixed results #Newsnight #coronavirus
"@Redpainter1 Trump THINKS he is taking hydroxychloroquine.

His staff is giving him Tic Tacs with little H's written on them

#TrumpIsAnIdiot
#coronavirus 
#COVID19 
#DonaldTrumpIsTheTypeOfGuy 
#DonaldTrump 
#hydroxychloriquine 
#TrumpHasNoPlan 
#TrumpGate"
Cases: 4,870,"673
🟦 Represents ~81","178 People

🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩
🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟨
🟨🟨🟨🟨🟨🟨🟨🟨🟨🟨🟨🟨
🟨🟨🟨🟨🟨🟨🟨🟨🟨🟨🟨🟨
🟨🟨🟨🟨🟨🟨🟨🟥🟪🟪🟪🟪

🟩:Recovered
🟨:Mild Condition
🟥:Critical Condition
🟪:Deaths
#coronavirus"
@Northernbred1 @GreatAunty1 How will we tackle the unemployment and social unrest that a no deal will cause. Blame it #Coronavirus I suppose?
Obviously sick of hearing about #Coronavirus , but the thing that’s pissing me off the most? Fucking ‘Airbuds’
Hand washing!！Gargle!！To protect an important person！Let's try hard！#コロナウイルス #手洗い #うがい #こまめにね #もうひと踏ん張り頑張ろう #Coronavirus #Handwashing #Gargle May 19, 2020 at 07:00AM
@AprilDRyan @realDonaldTrump One would think given his underlying heart issues taking this medication would be extremely dangerous and not advised, so the real question does he in fact have the #coronavirus and has potentially infected others around him #CoronavirusLiar
COVID19 Stats for Turkey as of May 19," 2020:

Total Cases: 150593
New Cases: +1","158
Total Deaths: 4171
New Deaths: +31
Total Recovered: 111577
Active Cases: 34845
Serious/Critical Cases: 903
Total Tests: 1650135
Tests/1M pop: 19591

#coronavirus #COVID19"
PSA: Oh, FFS, do not take hydroxychloroquine, bleach or other cleaning products. Remember what you were told when you were 3 yrs old? Do that.  #coronavirus
@weijia Which means Trump just revealed that he's tested positive for #COVID19 and displayed some rather severe #coronavirus symptoms. #Hydroxychloroquine has never been prescribed as a PREVENTIVE MEDICATION, so what other explanation is there? Other than he's lying, again.
Part of the New World order the sticking it up our ass #Coronavirus
Just curious why the media is not reporting that la county has had the lowest 3 day stretch of deaths like they do with negative stories... #coronavirus #LosAngeles #media
"Silence is better than unnecessary drama.

#coronavirus #MondayMorning #Twitter"
"@MattFinkes I want to know:

1) What is the non-nursing home #coronavirus infection rate/case fatality rate?

2) If the lockdowns couldn't lock the virus down inside prisons that are always locked down", what's the point of locking anything down then?
"Tomorrow is my first day back with @DC_Police  after #coronavirus .. I have missed my #PoliceFamily 💙

The support we have received has meant so much to us as a family 

Thank You! 

@ChSuptGMayhew @PSMirandaDalton @CISarahJohns @CInspAlfordMole @ChSuptDanEvans"
"#CoronaVirus update 
 
 Total Cases= 4",870,"673 +931
 Total Deaths= 319","187 +79
 Total Recovered= 1",893,"657 +183

 Active Cases: 2",657,"829
 Closed Cases: 2",212,"844
 
 Next update in 30 mins"
"Think about this folks...""Stable Genius"" @realDonaldTrump today said he is taking #Hydroxychloroquine as a preventive measure to protect him from the #Coronavirus"
Texas reports 71 new cases and 1 new death bringing total confirmed cases there to 49,180 and 1,365 total deaths," with 503 new cases and 5 new deaths reported today.

#CoronaVirus #Covid19 #CoronaVirusOutbreak"
The government have rolled out Jon Claude Van Tam to speak for medical science. But he looks like he’s just pooped out of the Henley Regatta or a remake of Bugsy Malone. Can’t trust a man in a garish suit with a cerise tie. Not for me. #VanTam #jonclaudevantam #coronavirus
"@VP has #Coronavirus? 

He has disappeared.

Not going to the @WhiteHouse ."
LAPD already eats up 53% of LA’s gen fund. @MayorOfLA wants to increase police overtime funds 47%! That’s $200 million, at a time when crime is down 30% &amp; we need funds for services in the midst of #coronavirus crisis. @CD6Nury &amp; City Council we need a #PeoplesBudgetLA! @blmla
"A fortnight later (for test results) is not ""timely data"". Why can other countries successfully do what UK cannot? #Newsnight #coronavirus"
@newscomauHQ @realDonaldTrump There is a zero % chance, @realDonaldTrump," is taking this drug. Zero.

#coronavirus"
I was in agony, I had never been sick like this before. I don’t think I ate for days, even going to the bathroom was hard," I don’t remember much about it.

I should’ve worn a mask.

So now when I look at the #coronavirus #COVID19 pandemic"," I can’t even imagine how bad it is.

/4"
California reports 165 new cases bringing total confirmed cases there to 80,430 and 3,"289 total deaths.

#CoronaVirus #Covid19 #CoronaVirusOutbreak"
"638 new cases and 74 new deaths in Germany 

[22:57 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"
Corona Virus cases in India cross a lakh. This happened only after opening of #Liquorshops unfortunately #lockdown didn't helped much #Covid_19india #IndiaFightsCorona #coronavirus
Government's shitty decisions will cost us alot #coronavirus
OK so biggest financial crisis in 300 years due to #coronavirus the biggest thing we have faced since WW2. A No Deal #Brexit which means prices will soar, food shortages &amp; slavery. We also have to face #ClimateChange while #AI takes more jobs away! Future doesn't sound good to me
"#BBCNewsnight  on #covid19 tracing.
On 19th March I wrote to Gov on this urging learning from Faores. 
- 2months later - Faroes first in world to banish #coronavirus - 
We still not got tracing going &amp; sections of Gov say tests available here don't work on asymptomatics anyway.🤷"
AND WHAT IF THAT MASK THEY WANT US TO WEAR IS NOTHING BUT A GAG OR A MUZZLE FOR US TO SHUT THE FUCK UP? #Coronavirus #Covid19 #Covid_19
"NEW: Zee News Markaz becomes the new hotbed of #coronavirus spreaders in India. This place is single handedly derailing India’s efforts to fight the COVID-19.
Registers highest contribution in single day. #ZeeNewsSealKaro #ZeeJamaat #CoronaZeehad"
Results that come back in a fortnight are near-useless. Might was well self-isolate for that long, as if the tests didn't exist #Newsnight #coronavirus
Yes, guy, current app won't work on older phones, meaning key demographics to monitoring and containing the pandemic will pass unnoticed. Typical govt IT mess #Newsnight #coronavirus
The world has been recovered at 37.1% of #coronavirus (Confirmed : 4782539 / Recovered : 1776388)
"""Everybody was contract tracing"" to the tune of Kung Fu Fighting by Bus Stop.

Just saying.

#COVIDIOTS #COVID #coronavirus #MondayMotivaton"
"@funder • 1 hydroxychloroquine 💊 = 200mg
• Lupus patients take 2 💊 a day
• #coronavirus studies used 4 💊 a day

@potus just said he’s only taking 1 💊 a day", meaning he’s lying ... or his doc gave him dose that does nothing to make him STFU.   And that’s pathetic!
USA reports 362 new cases and 13 new deaths bringing total confirmed cases there to 1,544,557 and 91,730 total deaths, with 16,"893 new cases and 752 new deaths reported today.

#CoronaVirus #Covid19 #CoronaVirusOutbreak"
I can’t believe there hasn’t been at least one governor willing to stand up and say “Fuck this shit. We’re going back to normal. No social distancing," throw away your face mask. We’re done. Back to normal“

Just give me one.

#Covid19
#Coronavirus"
"Going to Africa?
A Malaria shot is mandatory.
And it’s #Hydroxychloroquine 
It’s Safe. 
On deaths door step? Nothing helps.
But
Doctors take it. 
Scientists Argue.
RX companies push their own.

Go with what the doctors says.
#Hydroxychloroquine #Coronavirus #Trump"
"BREAKING: Apparently if you lose your sense of smell and taste it is a symptom of #Coronavirus. 
Wow! Who knew?
Err... almost the entire rest of the world for at least 6 weeks.
Once again another instance of staggering Tory #Incompetence 
How could we have ended up with Johnson?"
@ClaireByrneLive you can get #coronavirus thru the eyes now? When will this bullshit end?
"Will there be a second #COVID19 wave later this year? 

#covid #coronavirus #pandemic #virus #poll #yOURvoice

Be sure to follow our account for other questions posted daily!"
